issue_detail,2014,2015,2016,2017,2018,2019
A/C Not Available,53.0,97.0,153.0,152.0,273.0,163.0
Abandoned Bikes,1.0,2.0,1.0,3.0,5.0,1.0
Abandoned Customer at Station/Stop,348.0,664.0,1789.0,1437.0,2014.0,816.0
Abandoned bus (intentional),23.0,118.0,166.0,122.0,176.0,75.0
Accessibility due to construction,28.0,72.0,72.0,14.0,45.0,34.0
Ad Content,11.0,14.0,14.0,18.0,74.0,83.0
Add More / Not Enough,216.0,548.0,922.0,1020.0,1310.0,460.0
Additional Fare Taken,5.0,33.0,65.0,30.0,31.0,12.0
Appearance / Cleanliness,,,,,,122.0
Assaulted By Employee,20.0,10.0,31.0,29.0,43.0,29.0
"Availability, Quality, Accuracy of Visual & Audio Information",157.0,399.0,660.0,383.0,387.0,473.0
Blocked,2.0,,7.0,,13.0,12.0
Bright,,,,1.0,1.0,
Bumpy Ride / Vibrations,10.0,19.0,16.0,14.0,27.0,36.0
Bunching,,,720.0,791.0,796.0,373.0
Bus Stop,17.0,,12.0,50.0,162.0,57.0
Busy Signals,,,2.0,,1.0,
Bypassed Requested Stop,135.0,535.0,842.0,629.0,744.0,1321.0
Bypassed Wheelchair,140.0,173.0,181.0,180.0,163.0,327.0
Call Terminated/Hung Up,2.0,7.0,14.0,2.0,3.0,
Cancelled,16.0,43.0,9.0,,,
Cannot Access / Modify Account,2.0,8.0,10.0,14.0,16.0,4.0
Caught In Closing Door,127.0,419.0,621.0,550.0,498.0,1100.0
Cell Phone,12.0,61.0,92.0,80.0,85.0,29.0
Cleanliness,55.0,164.0,207.0,176.0,164.0,215.0
Closed / Not Open / Locked,,,4.0,1.0,2.0,2.0
Closed Door Before Customer Could Board,599.0,1069.0,2105.0,1521.0,1300.0,713.0
Combining Multiple Tickets,1.0,2.0,5.0,2.0,1.0,
Crowding,119.0,715.0,1210.0,362.0,920.0,1373.0
Curbing,249.0,471.0,736.0,600.0,485.0,690.0
Customer Actions / Behavior,,,,,,37.0
Customer Service / Behavior,,,,,,688.0
Damaged / Defective,24.0,57.0,173.0,85.0,32.0,32.0
Dead Animals,,1.0,1.0,,,3.0
Debris,2.0,3.0,2.0,2.0,3.0,3.0
Denied access to service animal,,,,,,34.0
Departed before mobility customer was secure,,,,,3.0,32.0
Did Not Correct Conduct of Passenger,153.0,216.0,316.0,299.0,298.0,351.0
Did not adjust boarding location,,,,,,1.0
Did not announce routes/ stops,,,,,2.0,16.0
Did not kneel/curb bus to facilitate boarding,,,,,3.0,239.0
Did not let disabled customer board,,,,,,27.0
Difficulty Boarding / Entering,20.0,31.0,35.0,14.0,30.0,34.0
Difficulty Leaving / Exiting,11.0,12.0,10.0,13.0,4.0,8.0
Discharged Customer,151.0,305.0,502.0,331.0,351.0,138.0
Disconnected,3.0,19.0,31.0,36.0,42.0,10.0
Disputes,49.0,207.0,338.0,192.0,140.0,102.0
Drainage,,,2.0,1.0,1.0,1.0
Duration of Construction,7.0,2.0,2.0,6.0,14.0,6.0
Early,254.0,515.0,654.0,595.0,794.0,2014.0
Equipment Breakdown,14.0,17.0,18.0,9.0,11.0,16.0
Error Message - Just Used,3.0,9.0,10.0,6.0,3.0,4.0
Error Message - See Agent,4.0,1.0,2.0,1.0,,1.0
Error Message - Swipe Again,2.0,5.0,11.0,1.0,1.0,
Expired Card / Too Soon,4.0,4.0,12.0,9.0,2.0,
Failed To ID Self,24.0,196.0,245.0,37.0,19.0,
Failed to ID Self,,3.0,7.0,3.0,,
Failed to Secure Wheelchair,,,20.0,80.0,64.0,42.0
Failed to provide satisfactory service to persons with disabilities,,,,,34.0,333.0
Failure To Make Scheduled Stop,718.0,1557.0,3473.0,2497.0,3421.0,1420.0
Fare Evasion,,,,,1.0,552.0
Fare Not Collected,,,,1.0,2.0,2.0
Fare To Toll Too High,1.0,32.0,26.0,10.0,4.0,5.0
Fees,7.0,26.0,15.0,14.0,2.0,7.0
Flagging / Failed To Stop,1319.0,2316.0,6033.0,5860.0,6004.0,11348.0
Frequency - Audio,3.0,8.0,9.0,18.0,12.0,20.0
Frequency - Visual / Text,2.0,1.0,6.0,2.0,2.0,
Graffiti,6.0,13.0,35.0,28.0,25.0,84.0
Grass / Landscaping / Vegetation Control,2.0,1.0,4.0,4.0,4.0,
Heat Not Available,4.0,34.0,30.0,31.0,53.0,43.0
Homeless Present,5.0,7.0,19.0,25.0,27.0,80.0
Honesty/Integrity,,,3.0,43.0,31.0,43.0
Idling,94.0,163.0,363.0,176.0,294.0,335.0
Illegal Parking,60.0,120.0,292.0,219.0,256.0,265.0
Improper Function/Needs Repair/Damaged,155.0,412.0,802.0,781.0,864.0,930.0
Incorrect Change Dispensed,,2.0,1.0,1.0,,1.0
Incorrect Change Given,,,,,1.0,8.0
Insects,20.0,39.0,56.0,76.0,65.0,62.0
