issue_detail,2014,2015,2016,2017,2018,2019
Accessibility due to construction,28.0,72.0,72.0,14.0,45.0,34.0
Bypassed Wheelchair,140.0,173.0,181.0,180.0,163.0,327.0
Departed before mobility customer was secure,,,,,3.0,32.0
Did not kneel/curb bus to facilitate boarding,,,,,3.0,239.0
Did not let disabled customer board,,,,,,27.0
Difficulty Boarding / Entering,20.0,31.0,35.0,14.0,30.0,34.0
Difficulty Leaving / Exiting,11.0,12.0,10.0,13.0,4.0,8.0
Failed to Secure Wheelchair,,,20.0,80.0,64.0,42.0
Failed to provide satisfactory service to persons with disabilities,,,,,34.0,333.0
Insists on securing mobility device,,,,,,2.0
Refused Lift,70.0,299.0,247.0,52.0,218.0,
Snow / Ice,3.0,91.0,207.0,154.0,57.0,5.0
Unable To Exit At Station / Stop,70.0,34.0,59.0,45.0,55.0,30.0
