issue_detail,2014,2015,2016,2017,2018,2019
A/C Not Available,53.0,97.0,153.0,152.0,273.0,163.0
Abandoned Customer at Station/Stop,348.0,664.0,1789.0,1437.0,2014.0,816.0
Abandoned bus (intentional),23.0,118.0,166.0,122.0,176.0,75.0
Appearance / Cleanliness,,,,,,122.0
Assaulted By Employee,20.0,10.0,31.0,29.0,43.0,29.0
Bunching,,,720.0,791.0,796.0,373.0
Bypassed Requested Stop,135.0,535.0,842.0,629.0,744.0,1321.0
Cancelled,16.0,43.0,9.0,,,
Cleanliness,55.0,164.0,207.0,176.0,164.0,215.0
Closed Door Before Customer Could Board,599.0,1069.0,2105.0,1521.0,1300.0,713.0
Crowding,119.0,715.0,1210.0,362.0,920.0,1373.0
Customer Service / Behavior,,,,,,688.0
Damaged / Defective,24.0,57.0,173.0,85.0,32.0,32.0
Early,254.0,515.0,654.0,595.0,794.0,2014.0
Failure To Make Scheduled Stop,718.0,1557.0,3473.0,2497.0,3421.0,1420.0
Flagging / Failed To Stop,1319.0,2316.0,6033.0,5860.0,6004.0,11348.0
Heat Not Available,4.0,34.0,30.0,31.0,53.0,43.0
Illegal Parking,60.0,120.0,292.0,219.0,256.0,265.0
Improper Function/Needs Repair/Damaged,155.0,412.0,802.0,781.0,864.0,930.0
Intent To Harm / Intimidate,61.0,135.0,214.0,213.0,201.0,106.0
Late / Delay,2498.0,4192.0,10618.0,10273.0,9920.0,17194.0
Litter / Garbage / Debris,29.0,64.0,97.0,119.0,114.0,155.0
Long Wait / Long Lines,51.0,112.0,161.0,64.0,48.0,8.0
Lost While Driving,41.0,84.0,110.0,64.0,127.0,126.0
Noise,29.0,55.0,58.0,107.0,90.0,87.0
Not Helpful,586.0,721.0,1521.0,1051.0,816.0,847.0
Operating Conditions / Availability,,,,,,2548.0
Operating Safety,,,,,,472.0
Pigeons / Birds,,2.0,2.0,,4.0,5.0
Planned Detour,91.0,151.0,270.0,220.0,255.0,425.0
Poor Location,54.0,142.0,195.0,162.0,333.0,193.0
Rats / Mice,2.0,2.0,6.0,3.0,3.0,
Reckless Driving,1316.0,1787.0,4979.0,4494.0,4652.0,5690.0
Slow Driving,83.0,392.0,611.0,498.0,420.0,706.0
Smoke / Fumes / Smell / Odor,65.0,121.0,154.0,118.0,140.0,204.0
Smoking,21.0,97.0,140.0,130.0,139.0,69.0
Terminated Route Early,158.0,447.0,696.0,504.0,628.0,534.0
Too Cold,63.0,140.0,167.0,120.0,113.0,100.0
Too Hot,31.0,54.0,58.0,74.0,74.0,409.0
Traffic Delays,5.0,20.0,11.0,10.0,11.0,3.0
Transfer Lost,76.0,188.0,205.0,127.0,103.0,64.0
Trip Cancelled,2.0,,,2.0,,
Vehicle Breakdown,13.0,15.0,25.0,12.0,24.0,29.0
